status,funding_rounds,funding_total_usd,milestones,relationships,avg_participants,age_first_funding_year,age_last_funding_year,has_VC,has_angel,is_software,is_web,is_mobile
acquired,3,2500000,4,12,3.2,1.0,3.0,1,1,1,1,1
closed,1,120000,1,4,1.4,2.0,2.0,0,1,1,1,0
acquired,4,4200000,5,16,4.1,1.0,4.0,1,1,1,0,1
closed,2,300000,2,6,1.8,2.0,3.0,0,0,1,1,0
acquired,5,6800000,6,18,4.4,1.0,5.0,1,1,1,1,0
closed,1,90000,1,3,1.2,3.0,3.0,0,0,0,1,0
acquired,3,3100000,4,13,3.5,1.0,3.0,1,1,1,1,1
closed,2,240000,2,5,1.7,2.0,3.0,0,1,0,1,0
acquired,4,5000000,6,17,4.6,1.0,4.0,1,1,1,0,1
closed,1,150000,1,4,1.3,3.0,3.0,0,0,1,1,0
acquired,6,9000000,7,21,5.1,1.0,5.0,1,1,1,1,1
closed,2,280000,2,6,1.9,2.0,3.0,0,1,1,0,0
acquired,3,2700000,4,12,3.1,1.0,3.0,1,1,0,1,1
closed,1,110000,1,3,1.1,3.0,3.0,0,0,1,0,0
acquired,5,7600000,6,19,4.8,1.0,4.0,1,1,1,1,0
closed,2,350000,2,7,2.1,2.0,3.0,0,0,0,1,0
acquired,4,4600000,5,15,4.0,1.0,4.0,1,1,1,0,1
closed,1,130000,1,4,1.5,3.0,3.0,0,1,0,1,0
acquired,6,10200000,8,23,5.4,1.0,5.0,1,1,1,1,1
closed,2,260000,2,5,1.8,2.0,3.0,0,0,1,0,0
